epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1319,0.93268,2.07701,1.16245,0.32478,0.46299,0.33896,0.19713,1.58442,2.69167,1.80247,0.000469224,0.000469224,0.000469224
2,65.2725,1.13247,1.49722,1.25351,0.33402,0.32674,0.20978,0.10386,1.92017,4.03589,2.6139,0.000936196,0.000936196,0.000936196
3,85.6448,1.1782,1.50128,1.29519,0.33935,0.36009,0.24852,0.1266,2.24259,4.02669,2.54254,0.00139374,0.00139374,0.00139374
4,106.793,1.20723,1.45061,1.30654,0.28719,0.42018,0.26144,0.1354,2.06017,3.12206,2.16931,0.00138656,0.00138656,0.00138656
5,129.113,1.14632,1.329,1.25853,0.48172,0.58087,0.42589,0.23406,1.5208,2.10773,1.67045,0.00137241,0.00137241,0.00137241
6,150.173,1.08599,1.25396,1.22521,0.62049,0.52009,0.49658,0.28872,1.44463,2.29687,1.63792,0.00135826,0.00135826,0.00135826
7,170.781,1.05004,1.21227,1.2224,0.51696,0.56835,0.49934,0.29819,1.37241,1.82012,1.55612,0.00134412,0.00134412,0.00134412
8,191.757,1.02212,1.1657,1.19088,0.46314,0.50227,0.45946,0.29131,1.41447,1.77076,1.53763,0.00132997,0.00132997,0.00132997
9,213.215,0.98992,1.10249,1.17435,0.60164,0.62496,0.59771,0.39011,1.23163,1.56213,1.40925,0.00131582,0.00131582,0.00131582
10,234.364,0.95062,1.05618,1.15586,0.57201,0.68624,0.59672,0.38406,1.20849,1.54714,1.4041,0.00130168,0.00130168,0.00130168
11,255.086,0.89643,1.0448,1.13293,0.67412,0.55722,0.58442,0.37866,1.24745,1.60491,1.41175,0.00128753,0.00128753,0.00128753
12,276.042,0.85729,1.00034,1.1154,0.66849,0.66165,0.68143,0.45089,1.15304,1.36321,1.3288,0.00127338,0.00127338,0.00127338
13,297.372,0.86996,0.98258,1.12321,0.64607,0.63257,0.60065,0.39532,1.24178,1.42332,1.38718,0.00125923,0.00125923,0.00125923
14,318.439,0.8551,0.95895,1.10847,0.73661,0.66399,0.70588,0.46618,1.15472,1.29124,1.34406,0.00124509,0.00124509,0.00124509
15,339.382,0.81506,0.90319,1.09768,0.70877,0.68351,0.71017,0.49756,1.06959,1.31074,1.26287,0.00123094,0.00123094,0.00123094
16,360.383,0.81911,0.9132,1.08657,0.75129,0.65219,0.71515,0.48277,1.09565,1.33159,1.29627,0.00121679,0.00121679,0.00121679
17,381.394,0.82407,0.90101,1.09834,0.74284,0.68243,0.71911,0.49797,1.09012,1.25434,1.26957,0.00120265,0.00120265,0.00120265
18,402.461,0.82605,0.93561,1.11414,0.69812,0.66493,0.66597,0.45463,1.12946,1.33517,1.3206,0.0011885,0.0011885,0.0011885
19,423.367,0.7867,0.88522,1.08743,0.73273,0.7118,0.72545,0.51433,1.03264,1.25181,1.24431,0.00117435,0.00117435,0.00117435
20,444.339,0.76003,0.84807,1.07104,0.78191,0.70812,0.75247,0.55667,0.94772,1.13956,1.15812,0.00116021,0.00116021,0.00116021
21,465.352,0.7565,0.82629,1.07386,0.81579,0.72504,0.76014,0.5453,0.98549,1.13043,1.19876,0.00114606,0.00114606,0.00114606
